1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"[8, 7, 7, 9, 3, 9, 1, 6, 2, 4, 4, 8, 6, 8, 9, 2, 9, 1]",,,,,,,,,,,,,,,,,
,"[5, 3, 5, 3, 5, 3, 5, 3, 5, 3, 5, 3, 5, 3, 5, 3]",,,,,,,,,,,,,,,,
,,,"[8, 7, 7, 9, 9, 2, 2, 4, 4, 8]",,,,,"[3, 9, 9, 1, 1, 6, 6, 8]",,,,,,,,,
,,"[3, 9, 9, 1, 1, 6, 6, 8]",,"[9, 2, 2, 8]","[9, 2, 2, 8]",,"[9, 2, 2, 8]",,"[8, 7, 7, 9]",,"[9, 2, 2, 8]","[9, 2, 2, 8]",,,,"[9, 2, 2, 8]",
,,,"[9, 1, 1, 8]",,,,,,,,,,,,,,
,,,"[9, 1, 1, 8]",,,"[9, 2, 2, 8]",,,,"[9, 2, 2, 8]",,,,,,,
,,,,,"[9, 1, 1, 8]",,,,,,,,,,,,
,,,"[9, 1, 1, 8]",,,,,,,,,,,,,,
,,"[8, 7, 7, 9, 9, 2, 2, 4, 4, 8]",,,,,,,,,,,,,,,
,,,"[3, 9]",,,,,,,,,,,,,,
,,,,,"[9, 1, 1, 8]",,,,,,,,,,,,
,,,"[9, 1, 1, 8]",,,,,,,,,,,,,,
,,,"[9, 1, 1, 8]",,,,,,,,,,"[8, 7, 7, 9, 9, 2, 2, 4, 4, 8]",,,,
,,,,,,,,,,,,"[3, 9, 9, 1, 1, 6, 6, 8]",,,,,
,,,,,,,,,,,,,,,"[1, 6, 6, 8, 3, 9, 9, 1]",,
,,,,,,,,,,,,,,"[2, 4, 4, 8, 8, 7, 7, 9, 9, 2]",,"[3, 9]",
,,,"[9, 1, 1, 8]",,,,,,,,,,,,"[8, 7, 7, 9]",,"[8, 7, 7, 9, 9, 2, 2, 4, 4, 8]"
,,,,,,,,,,,,,,,,"[3, 9, 9, 1, 1, 6, 6, 8]",
